[2025-03-02 19:03:21,875] INFO - [2025-03-02 19:03:21] Machine 3 received message from 1, Received Clock: 3, Queue Length: 1, Updated Logical Clock: 4
[2025-03-02 19:03:22,881] INFO - [2025-03-02 19:03:22] Machine 3 received message from 1, Received Clock: 8, Queue Length: 3, Updated Logical Clock: 9
[2025-03-02 19:03:23,883] INFO - [2025-03-02 19:03:23] Machine 3 received message from 1, Received Clock: 10, Queue Length: 3, Updated Logical Clock: 11
[2025-03-02 19:03:24,888] INFO - [2025-03-02 19:03:24] Machine 3 received message from 1, Received Clock: 13, Queue Length: 3, Updated Logical Clock: 14
[2025-03-02 19:03:25,889] INFO - [2025-03-02 19:03:25] Machine 3 received message from 2, Received Clock: 15, Queue Length: 4, Updated Logical Clock: 16
[2025-03-02 19:03:26,895] INFO - [2025-03-02 19:03:26] Machine 3 received message from 2, Received Clock: 17, Queue Length: 5, Updated Logical Clock: 18
[2025-03-02 19:03:27,897] INFO - [2025-03-02 19:03:27] Machine 3 received message from 1, Received Clock: 31, Queue Length: 5, Updated Logical Clock: 32
[2025-03-02 19:03:28,899] INFO - [2025-03-02 19:03:28] Machine 3 received message from 1, Received Clock: 32, Queue Length: 5, Updated Logical Clock: 33
[2025-03-02 19:03:29,904] INFO - [2025-03-02 19:03:29] Machine 3 received message from 1, Received Clock: 34, Queue Length: 7, Updated Logical Clock: 35
[2025-03-02 19:03:30,911] INFO - [2025-03-02 19:03:30] Machine 3 received message from 1, Received Clock: 37, Queue Length: 6, Updated Logical Clock: 38
[2025-03-02 19:03:31,918] INFO - [2025-03-02 19:03:31] Machine 3 received message from 1, Received Clock: 39, Queue Length: 6, Updated Logical Clock: 40
[2025-03-02 19:03:32,921] INFO - [2025-03-02 19:03:32] Machine 3 received message from 2, Received Clock: 48, Queue Length: 5, Updated Logical Clock: 49
[2025-03-02 19:03:33,924] INFO - [2025-03-02 19:03:33] Machine 3 received message from 1, Received Clock: 50, Queue Length: 5, Updated Logical Clock: 51
[2025-03-02 19:03:34,928] INFO - [2025-03-02 19:03:34] Machine 3 received message from 1, Received Clock: 52, Queue Length: 5, Updated Logical Clock: 53
[2025-03-02 19:03:35,933] INFO - [2025-03-02 19:03:35] Machine 3 received message from 2, Received Clock: 50, Queue Length: 6, Updated Logical Clock: 54
[2025-03-02 19:03:36,938] INFO - [2025-03-02 19:03:36] Machine 3 received message from 1, Received Clock: 68, Queue Length: 6, Updated Logical Clock: 69
[2025-03-02 19:03:37,944] INFO - [2025-03-02 19:03:37] Machine 3 received message from 1, Received Clock: 79, Queue Length: 5, Updated Logical Clock: 80
[2025-03-02 19:03:38,950] INFO - [2025-03-02 19:03:38] Machine 3 received message from 1, Received Clock: 86, Queue Length: 4, Updated Logical Clock: 87
[2025-03-02 19:03:39,953] INFO - [2025-03-02 19:03:39] Machine 3 received message from 2, Received Clock: 84, Queue Length: 3, Updated Logical Clock: 88
[2025-03-02 19:03:40,958] INFO - [2025-03-02 19:03:40] Machine 3 received message from 2, Received Clock: 86, Queue Length: 2, Updated Logical Clock: 89
[2025-03-02 19:03:41,964] INFO - [2025-03-02 19:03:41] Machine 3 received message from 1, Received Clock: 95, Queue Length: 2, Updated Logical Clock: 96
[2025-03-02 19:03:42,970] INFO - [2025-03-02 19:03:42] Machine 3 received message from 1, Received Clock: 128, Queue Length: 3, Updated Logical Clock: 129
[2025-03-02 19:03:43,976] INFO - [2025-03-02 19:03:43] Machine 3 received message from 1, Received Clock: 131, Queue Length: 4, Updated Logical Clock: 132
[2025-03-02 19:03:44,981] INFO - [2025-03-02 19:03:44] Machine 3 received message from 2, Received Clock: 132, Queue Length: 5, Updated Logical Clock: 133
[2025-03-02 19:03:45,987] INFO - [2025-03-02 19:03:45] Machine 3 received message from 1, Received Clock: 137, Queue Length: 7, Updated Logical Clock: 138
[2025-03-02 19:03:46,992] INFO - [2025-03-02 19:03:46] Machine 3 received message from 1, Received Clock: 140, Queue Length: 7, Updated Logical Clock: 141
[2025-03-02 19:03:47,998] INFO - [2025-03-02 19:03:47] Machine 3 received message from 2, Received Clock: 142, Queue Length: 6, Updated Logical Clock: 143
[2025-03-02 19:03:49,003] INFO - [2025-03-02 19:03:49] Machine 3 received message from 1, Received Clock: 145, Queue Length: 7, Updated Logical Clock: 146
